Total Run Time,10.016,Early Exit, false
Number of Particles of Type 1,150
Number of Particles of Type 2,150
Number of Particles of Type 3,0
Number of Particles of Type 4,0
Number of Updates,Frame Time,TotalTime,
0,0.016,0.016,
0,0.015,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0.016,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0.016,0.063,
0,0,0.063,
0,0,0.063,
0,0,0.063,
0,0,0.063,
0,0,0.063,
0,0,0.063,
0,0,0.063,
0,0,0.063,
0,0.015,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0.016,0.094,
0,0,0.094,
0,0,0.094,
0,0,0.094,
0,0,0.094,
0,0,0.094,
0,0,0.094,
1,0.015,0.109,
0,0.032,0.141,
0,0.015,0.156,
0,0,0.156,
0,0,0.156,
0,0,0.156,
0,0.016,0.172,
0,0,0.172,
0,0,0.172,
0,0,0.172,
0,0.016,0.188,
0,0,0.188,
0,0,0.188,
0,0,0.188,
0,0,0.188,
1,0.015,0.203,
0,0.031,0.234,
0,0,0.234,
0,0.016,0.25,
0,0,0.25,
0,0,0.25,
0,0,0.25,
0,0.016,0.266,
0,0,0.266,
0,0,0.266,
0,0,0.266,
0,0.015,0.281,
0,0,0.281,
0,0,0.281,
0,0,0.281,
0,0.016,0.297,
0,0,0.297,
0,0,0.297,
0,0,0.297,
1,0.016,0.313,
0,0.031,0.344,
0,0.015,0.359,
0,0,0.359,
0,0,0.359,
0,0.016,0.375,
0,0,0.375,
0,0,0.375,
0,0.016,0.391,
0,0,0.391,
0,0,0.391,
1,0.015,0.406,
0,0.047,0.453,
0,0,0.453,
0,0.016,0.469,
0,0,0.469,
0,0,0.469,
0,0,0.469,
0,0.015,0.484,
0,0,0.484,
0,0,0.484,
0,0,0.484,
0,0.016,0.5,
0,0,0.5,
0,0,0.5,
1,0.016,0.516,
0,0.031,0.547,
0,0.016,0.563,
0,0,0.563,
0,0,0.563,
0,0,0.563,
0,0.015,0.578,
0,0,0.578,
0,0,0.578,
0,0,0.578,
0,0.016,0.594,
0,0,0.594,
0,0,0.594,
0,0,0.594,
1,0.015,0.609,
0,0.032,0.641,
0,0.015,0.656,
0,0,0.656,
0,0,0.656,
0,0.016,0.672,
0,0,0.672,
0,0,0.672,
0,0.016,0.688,
0,0,0.688,
0,0,0.688,
0,0,0.688,
1,0.015,0.703,
0,0.031,0.734,
0,0,0.734,
0,0.016,0.75,
0,0,0.75,
0,0,0.75,
0,0,0.75,
0,0.016,0.766,
0,0,0.766,
0,0,0.766,
0,0.015,0.781,
0,0,0.781,
0,0,0.781,
0,0,0.781,
0,0.016,0.797,
0,0,0.797,
0,0,0.797,
0,0,0.797,
1,0.016,0.813,
0,0.046,0.859,
0,0,0.859,
0,0,0.859,
0,0,0.859,
0,0,0.859,
0,0.016,0.875,
0,0,0.875,
0,0,0.875,
0,0.016,0.891,
0,0,0.891,
0,0,0.891,
0,0,0.891,
0,0,0.891,
1,0.015,0.906,
0,0.032,0.938,
0,0.015,0.953,
0,0,0.953,
0,0,0.953,
0,0,0.953,
0,0,0.953,
0,0.016,0.969,
0,0,0.969,
0,0,0.969,
0,0,0.969,
0,0.015,0.984,
0,0,0.984,
0,0,0.984,
0,0,0.984,
0,0.016,1,
0,0,1,
0,0,1,
0,0,1,
1,0.016,1.016,
0,0.031,1.047,
0,0.016,1.063,
0,0,1.063,
0,0,1.063,
0,0.015,1.078,
0,0,1.078,
0,0,1.078,
0,0.016,1.094,
0,0,1.094,
1,0.015,1.109,
0,0.032,1.141,
0,0,1.141,
0,0.015,1.156,
0,0,1.156,
0,0,1.156,
0,0.016,1.172,
0,0,1.172,
0,0,1.172,
0,0,1.172,
0,0,1.172,
0,0.016,1.188,
0,0,1.188,
0,0,1.188,
0,0,1.188,
1,0.015,1.203,
0,0.031,1.234,
0,0,1.234,
0,0,1.234,
0,0.016,1.25,
0,0,1.25,
0,0,1.25,
0,0,1.25,
0,0.016,1.266,
0,0,1.266,
0,0,1.266,
0,0,1.266,
0,0,1.266,
0,0.015,1.281,
0,0,1.281,
0,0,1.281,
0,0,1.281,
0,0,1.281,
0,0.016,1.297,
0,0,1.297,
0,0,1.297,
0,0,1.297,
1,0.016,1.313,
0,0.031,1.344,
0,0,1.344,
0,0,1.344,
0,0.015,1.359,
0,0,1.359,
0,0,1.359,
0,0,1.359,
0,0.016,1.375,
0,0,1.375,
0,0,1.375,
0,0,1.375,
0,0.016,1.391,
0,0,1.391,
0,0,1.391,
0,0,1.391,
0,0,1.391,
1,0.015,1.406,
0,0.032,1.438,
0,0,1.438,
0,0.015,1.453,
0,0,1.453,
0,0,1.453,
0,0,1.453,
0,0,1.453,
0,0.016,1.469,
0,0,1.469,
0,0,1.469,
0,0,1.469,
0,0.015,1.484,
0,0,1.484,
0,0,1.484,
0,0,1.484,
0,0,1.484,
0,0.016,1.5,
0,0,1.5,
0,0,1.5,
0,0,1.5,
1,0.016,1.516,
0,0.031,1.547,
0,0,1.547,
0,0.016,1.563,
0,0,1.563,
0,0,1.563,
0,0,1.563,
0,0,1.563,
0,0.015,1.578,
0,0,1.578,
0,0,1.578,
0,0,1.578,
0,0.016,1.594,
0,0,1.594,
0,0,1.594,
0,0,1.594,
0,0,1.594,
1,0.015,1.609,
0,0.032,1.641,
0,0,1.641,
0,0,1.641,
0,0.015,1.656,
0,0,1.656,
0,0,1.656,
0,0,1.656,
0,0,1.656,
0,0.016,1.672,
0,0,1.672,
0,0,1.672,
0,0,1.672,
0,0.016,1.688,
0,0,1.688,
0,0,1.688,
0,0,1.688,
0,0,1.688,
1,0.015,1.703,
0,0.031,1.734,
0,0,1.734,
0,0,1.734,
0,0.016,1.75,
0,0,1.75,
0,0,1.75,
0,0,1.75,
0,0,1.75,
0,0.016,1.766,
0,0,1.766,
0,0,1.766,
0,0,1.766,
0,0.015,1.781,
0,0,1.781,
0,0,1.781,
0,0,1.781,
0,0.016,1.797,
0,0,1.797,
0,0,1.797,
0,0,1.797,
0,0,1.797,
1,0.016,1.813,
0,0.031,1.844,
0,0,1.844,
0,0.015,1.859,
0,0,1.859,
0,0,1.859,
0,0,1.859,
0,0.016,1.875,
0,0,1.875,
0,0,1.875,
0,0,1.875,
0,0.016,1.891,
0,0,1.891,
0,0,1.891,
0,0,1.891,
1,0.015,1.906,
0,0.032,1.938,
0,0,1.938,
0,0,1.938,
0,0.015,1.953,
0,0,1.953,
0,0,1.953,
0,0,1.953,
0,0,1.953,
0,0.016,1.969,
0,0,1.969,
0,0,1.969,
0,0,1.969,
0,0,1.969,
0,0.015,1.984,
0,0,1.984,
0,0,1.984,
0,0,1.984,
0,0.016,2,
0,0,2,
0,0,2,
0,0,2,
1,0.016,2.016,
0,0.031,2.047,
0,0,2.047,
0,0.016,2.063,
0,0,2.063,
0,0,2.063,
0,0,2.063,
0,0.015,2.078,
0,0,2.078,
0,0,2.078,
0,0,2.078,
0,0,2.078,
0,0.016,2.094,
0,0,2.094,
0,0,2.094,
0,0,2.094,
1,0.015,2.109,
0,0.032,2.141,
0,0,2.141,
0,0,2.141,
0,0.015,2.156,
0,0,2.156,
0,0,2.156,
0,0,2.156,
0,0,2.156,
0,0.016,2.172,
0,0,2.172,
0,0,2.172,
0,0,2.172,
0,0.016,2.188,
0,0,2.188,
0,0,2.188,
0,0,2.188,
0,0,2.188,
1,0.015,2.203,
0,0.031,2.234,
0,0,2.234,
0,0.016,2.25,
0,0,2.25,
0,0,2.25,
0,0,2.25,
0,0.016,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
0,0.015,2.281,
0,0,2.281,
0,0,2.281,
0,0,2.281,
0,0.016,2.297,
0,0,2.297,
0,0,2.297,
0,0,2.297,
0,0,2.297,
1,0.016,2.313,
0,0.031,2.344,
0,0,2.344,
0,0,2.344,
0,0.015,2.359,
0,0,2.359,
0,0,2.359,
0,0,2.359,
0,0,2.359,
0,0.016,2.375,
0,0,2.375,
0,0,2.375,
0,0,2.375,
0,0.016,2.391,
0,0,2.391,
0,0,2.391,
0,0,2.391,
0,0,2.391,
1,0.015,2.406,
0,0.032,2.438,
0,0,2.438,
0,0,2.438,
0,0.015,2.453,
0,0,2.453,
0,0,2.453,
0,0,2.453,
0,0.016,2.469,
0,0,2.469,
0,0,2.469,
0,0,2.469,
0,0,2.469,
0,0.015,2.484,
0,0,2.484,
0,0,2.484,
0,0,2.484,
0,0,2.484,
0,0.016,2.5,
0,0,2.5,
0,0,2.5,
0,0,2.5,
0,0,2.5,
1,0.016,2.516,
0,0.031,2.547,
0,0,2.547,
0,0.016,2.563,
0,0,2.563,
0,0,2.563,
0,0,2.563,
0,0,2.563,
0,0.015,2.578,
0,0,2.578,
0,0,2.578,
0,0,2.578,
0,0.016,2.594,
0,0,2.594,
0,0,2.594,
0,0,2.594,
0,0,2.594,
1,0.015,2.609,
0,0.032,2.641,
0,0,2.641,
0,0,2.641,
0,0.015,2.656,
0,0,2.656,
0,0,2.656,
0,0,2.656,
0,0.016,2.672,
0,0,2.672,
0,0,2.672,
0,0,2.672,
0,0,2.672,
0,0.016,2.688,
0,0,2.688,
0,0,2.688,
0,0,2.688,
0,0,2.688,
1,0.015,2.703,
0,0.031,2.734,
0,0,2.734,
0,0,2.734,
0,0.016,2.75,
0,0,2.75,
0,0,2.75,
0,0,2.75,
0,0.016,2.766,
0,0,2.766,
0,0,2.766,
0,0,2.766,
0,0,2.766,
0,0.015,2.781,
0,0,2.781,
0,0,2.781,
0,0,2.781,
0,0,2.781,
0,0.016,2.797,
0,0,2.797,
0,0,2.797,
0,0,2.797,
1,0.016,2.813,
0,0.031,2.844,
0,0,2.844,
0,0.015,2.859,
0,0,2.859,
0,0,2.859,
0,0,2.859,
0,0,2.859,
0,0.016,2.875,
0,0,2.875,
0,0,2.875,
0,0,2.875,
0,0.016,2.891,
0,0,2.891,
0,0,2.891,
0,0,2.891,
0,0,2.891,
1,0.015,2.906,
0,0.032,2.938,
0,0,2.938,
0,0,2.938,
0,0.015,2.953,
0,0,2.953,
0,0,2.953,
0,0,2.953,
0,0.016,2.969,
0,0,2.969,
0,0,2.969,
0,0,2.969,
0,0,2.969,
0,0.015,2.984,
0,0,2.984,
0,0,2.984,
0,0,2.984,
0,0.016,3,
0,0,3,
0,0,3,
0,0,3,
0,0,3,
1,0.016,3.016,
0,0.031,3.047,
0,0,3.047,
0,0,3.047,
0,0.016,3.063,
0,0,3.063,
0,0,3.063,
0,0,3.063,
0,0.015,3.078,
0,0,3.078,
0,0,3.078,
0,0,3.078,
0,0,3.078,
0,0.016,3.094,
0,0,3.094,
0,0,3.094,
0,0,3.094,
1,0.015,3.109,
0,0.032,3.141,
0,0,3.141,
0,0,3.141,
0,0.015,3.156,
0,0,3.156,
0,0,3.156,
0,0,3.156,
0,0.016,3.172,
0,0,3.172,
0,0,3.172,
0,0,3.172,
0,0,3.172,
0,0.016,3.188,
0,0,3.188,
0,0,3.188,
0,0,3.188,
0,0,3.188,
1,0.015,3.203,
0,0.031,3.234,
0,0,3.234,
0,0,3.234,
0,0.016,3.25,
0,0,3.25,
0,0,3.25,
0,0,3.25,
0,0.016,3.266,
0,0,3.266,
0,0,3.266,
0,0,3.266,
0,0.015,3.281,
0,0,3.281,
0,0,3.281,
0,0,3.281,
0,0,3.281,
0,0.016,3.297,
0,0,3.297,
0,0,3.297,
0,0,3.297,
1,0.016,3.313,
0,0.031,3.344,
0,0,3.344,
0,0,3.344,
0,0.015,3.359,
0,0,3.359,
0,0,3.359,
0,0,3.359,
0,0,3.359,
0,0.016,3.375,
0,0,3.375,
0,0,3.375,
0,0,3.375,
0,0.016,3.391,
0,0,3.391,
0,0,3.391,
0,0,3.391,
0,0,3.391,
1,0.015,3.406,
0,0.032,3.438,
0,0,3.438,
0,0,3.438,
0,0.015,3.453,
0,0,3.453,
0,0,3.453,
0,0,3.453,
0,0.016,3.469,
0,0,3.469,
0,0,3.469,
0,0,3.469,
0,0,3.469,
0,0.015,3.484,
0,0,3.484,
0,0,3.484,
0,0,3.484,
0,0,3.484,
0,0.016,3.5,
0,0,3.5,
0,0,3.5,
0,0,3.5,
1,0.016,3.516,
0,0.031,3.547,
0,0,3.547,
0,0,3.547,
0,0.016,3.563,
0,0,3.563,
0,0,3.563,
0,0,3.563,
0,0,3.563,
0,0.015,3.578,
0,0,3.578,
0,0,3.578,
0,0,3.578,
0,0.016,3.594,
0,0,3.594,
0,0,3.594,
0,0,3.594,
1,0.015,3.609,
0,0.032,3.641,
0,0,3.641,
0,0,3.641,
0,0.015,3.656,
0,0,3.656,
0,0,3.656,
0,0,3.656,
0,0.016,3.672,
0,0,3.672,
0,0,3.672,
0,0,3.672,
0,0,3.672,
0,0.016,3.688,
0,0,3.688,
0,0,3.688,
0,0,3.688,
1,0.015,3.703,
0,0.031,3.734,
0,0,3.734,
0,0,3.734,
0,0.016,3.75,
0,0,3.75,
0,0,3.75,
0,0,3.75,
0,0.016,3.766,
0,0,3.766,
0,0,3.766,
0,0.015,3.781,
0,0,3.781,
0,0,3.781,
0,0.016,3.797,
0,0,3.797,
0,0,3.797,
0,0,3.797,
0,0,3.797,
1,0.016,3.813,
0,0.031,3.844,
0,0,3.844,
0,0,3.844,
0,0.015,3.859,
0,0,3.859,
0,0,3.859,
0,0,3.859,
0,0,3.859,
0,0.016,3.875,
0,0,3.875,
0,0,3.875,
0,0,3.875,
0,0.016,3.891,
0,0,3.891,
0,0,3.891,
0,0,3.891,
0,0,3.891,
1,0.015,3.906,
0,0.032,3.938,
0,0,3.938,
0,0.015,3.953,
0,0,3.953,
0,0,3.953,
0,0,3.953,
0,0.016,3.969,
0,0,3.969,
0,0,3.969,
0,0,3.969,
0,0,3.969,
0,0.015,3.984,
0,0,3.984,
0,0,3.984,
0,0,3.984,
0,0,3.984,
0,0.016,4,
0,0,4,
0,0,4,
0,0,4,
1,0.016,4.016,
0,0.031,4.047,
0,0,4.047,
0,0,4.047,
0,0.016,4.063,
0,0,4.063,
0,0,4.063,
0,0,4.063,
0,0,4.063,
0,0.015,4.078,
0,0,4.078,
0,0,4.078,
0,0,4.078,
0,0.016,4.094,
0,0,4.094,
0,0,4.094,
0,0,4.094,
0,0,4.094,
1,0.015,4.109,
0,0.032,4.141,
0,0,4.141,
0,0,4.141,
0,0.015,4.156,
0,0,4.156,
0,0,4.156,
0,0,4.156,
0,0.016,4.172,
0,0,4.172,
0,0,4.172,
0,0,4.172,
0,0,4.172,
0,0.016,4.188,
0,0,4.188,
0,0,4.188,
0,0,4.188,
1,0.015,4.203,
0,0.031,4.234,
0,0,4.234,
0,0,4.234,
0,0.016,4.25,
0,0,4.25,
0,0,4.25,
0,0,4.25,
0,0,4.25,
0,0.016,4.266,
0,0,4.266,
0,0,4.266,
0,0,4.266,
0,0,4.266,
0,0.015,4.281,
0,0,4.281,
0,0,4.281,
0,0,4.281,
0,0.016,4.297,
0,0,4.297,
0,0,4.297,
0,0,4.297,
0,0,4.297,
1,0.016,4.313,
0,0.031,4.344,
0,0.015,4.359,
0,0,4.359,
0,0,4.359,
0,0,4.359,
0,0,4.359,
0,0.016,4.375,
0,0,4.375,
0,0,4.375,
0,0,4.375,
0,0,4.375,
0,0.016,4.391,
0,0,4.391,
0,0,4.391,
0,0,4.391,
1,0.015,4.406,
0,0.032,4.438,
0,0,4.438,
0,0,4.438,
0,0.015,4.453,
0,0,4.453,
0,0,4.453,
0,0,4.453,
0,0,4.453,
0,0.016,4.469,
0,0,4.469,
0,0,4.469,
0,0,4.469,
0,0,4.469,
0,0.015,4.484,
0,0,4.484,
0,0,4.484,
0,0,4.484,
0,0.016,4.5,
0,0,4.5,
0,0,4.5,
0,0,4.5,
1,0.016,4.516,
0,0.031,4.547,
0,0,4.547,
0,0,4.547,
0,0.016,4.563,
0,0,4.563,
0,0,4.563,
0,0,4.563,
0,0.015,4.578,
0,0,4.578,
0,0,4.578,
0,0,4.578,
0,0,4.578,
0,0.016,4.594,
0,0,4.594,
0,0,4.594,
0,0,4.594,
1,0.015,4.609,
0,0.032,4.641,
0,0,4.641,
0,0,4.641,
0,0.015,4.656,
0,0,4.656,
0,0,4.656,
0,0,4.656,
0,0,4.656,
0,0.016,4.672,
0,0,4.672,
0,0,4.672,
0,0,4.672,
0,0,4.672,
0,0.016,4.688,
0,0,4.688,
0,0,4.688,
0,0,4.688,
1,0.015,4.703,
0,0.031,4.734,
0,0,4.734,
0,0,4.734,
0,0.016,4.75,
0,0,4.75,
0,0,4.75,
0,0,4.75,
0,0.016,4.766,
0,0,4.766,
0,0,4.766,
0,0,4.766,
0,0,4.766,
0,0.015,4.781,
0,0,4.781,
0,0,4.781,
0,0,4.781,
0,0.016,4.797,
0,0,4.797,
0,0,4.797,
0,0,4.797,
0,0,4.797,
1,0.016,4.813,
0,0.031,4.844,
0,0,4.844,
0,0,4.844,
0,0.015,4.859,
0,0,4.859,
0,0,4.859,
0,0,4.859,
0,0.016,4.875,
0,0,4.875,
0,0,4.875,
0,0,4.875,
0,0,4.875,
0,0.016,4.891,
0,0,4.891,
0,0,4.891,
0,0,4.891,
1,0.015,4.906,
0,0.047,4.953,
0,0,4.953,
0,0,4.953,
0,0,4.953,
0,0,4.953,
0,0.016,4.969,
0,0,4.969,
0,0,4.969,
0,0,4.969,
0,0.015,4.984,
0,0,4.984,
0,0,4.984,
0,0,4.984,
0,0,4.984,
0,0.016,5,
0,0,5,
0,0,5,
0,0,5,
1,0.016,5.016,
0,0.031,5.047,
0,0.016,5.063,
0,0,5.063,
0,0,5.063,
0,0,5.063,
0,0,5.063,
0,0.015,5.078,
0,0,5.078,
0,0,5.078,
0,0,5.078,
0,0.016,5.094,
0,0,5.094,
0,0,5.094,
0,0,5.094,
0,0,5.094,
1,0.015,5.109,
0,0.032,5.141,
0,0,5.141,
0,0,5.141,
0,0.015,5.156,
0,0,5.156,
0,0,5.156,
0,0,5.156,
0,0.016,5.172,
0,0,5.172,
0,0,5.172,
0,0,5.172,
0,0,5.172,
0,0.016,5.188,
0,0,5.188,
0,0,5.188,
0,0,5.188,
1,0.015,5.203,
0,0.031,5.234,
0,0,5.234,
0,0,5.234,
0,0.016,5.25,
0,0,5.25,
0,0,5.25,
0,0,5.25,
0,0,5.25,
0,0.016,5.266,
0,0,5.266,
0,0,5.266,
0,0,5.266,
0,0.015,5.281,
0,0,5.281,
0,0,5.281,
0,0,5.281,
0,0,5.281,
0,0.016,5.297,
0,0,5.297,
0,0,5.297,
0,0,5.297,
0,0,5.297,
1,0.016,5.313,
0,0.031,5.344,
0,0.015,5.359,
0,0,5.359,
0,0,5.359,
0,0,5.359,
0,0,5.359,
0,0.016,5.375,
0,0,5.375,
0,0,5.375,
0,0,5.375,
0,0.016,5.391,
0,0,5.391,
0,0,5.391,
0,0,5.391,
1,0.015,5.406,
0,0.032,5.438,
0,0,5.438,
0,0,5.438,
0,0.015,5.453,
0,0,5.453,
0,0,5.453,
0,0,5.453,
0,0,5.453,
0,0.016,5.469,
0,0,5.469,
0,0,5.469,
0,0,5.469,
0,0,5.469,
0,0.015,5.484,
0,0,5.484,
0,0,5.484,
0,0,5.484,
0,0.016,5.5,
0,0,5.5,
0,0,5.5,
0,0,5.5,
0,0,5.5,
1,0.016,5.516,
0,0.031,5.547,
0,0.016,5.563,
0,0,5.563,
0,0,5.563,
0,0,5.563,
0,0.015,5.578,
0,0,5.578,
0,0,5.578,
0,0.016,5.594,
0,0,5.594,
0,0,5.594,
0,0,5.594,
0,0,5.594,
1,0.015,5.609,
0,0.032,5.641,
0,0,5.641,
0,0.015,5.656,
0,0,5.656,
0,0,5.656,
0,0,5.656,
0,0.016,5.672,
0,0,5.672,
0,0,5.672,
0,0,5.672,
0,0,5.672,
0,0.016,5.688,
0,0,5.688,
0,0,5.688,
0,0,5.688,
1,0.015,5.703,
0,0.031,5.734,
0,0.016,5.75,
0,0,5.75,
0,0,5.75,
0,0.016,5.766,
0,0,5.766,
0,0,5.766,
0,0.015,5.781,
0,0,5.781,
0,0,5.781,
0,0,5.781,
0,0.016,5.797,
0,0,5.797,
0,0,5.797,
1,0.016,5.813,
0,0.031,5.844,
0,0.015,5.859,
0,0,5.859,
0,0,5.859,
0,0,5.859,
0,0,5.859,
0,0.016,5.875,
0,0,5.875,
0,0,5.875,
0,0,5.875,
0,0.016,5.891,
0,0,5.891,
0,0,5.891,
1,0.015,5.906,
0,0.032,5.938,
0,0,5.938,
0,0,5.938,
0,0.015,5.953,
0,0,5.953,
0,0,5.953,
0,0.016,5.969,
0,0,5.969,
0,0,5.969,
0,0,5.969,
0,0.015,5.984,
0,0,5.984,
0,0,5.984,
0,0,5.984,
0,0.016,6,
0,0,6,
0,0,6,
0,0,6,
0,0,6,
1,0.016,6.016,
0,0.031,6.047,
0,0,6.047,
0,0.016,6.063,
0,0,6.063,
0,0,6.063,
0,0,6.063,
0,0.015,6.078,
0,0,6.078,
0,0,6.078,
0,0,6.078,
0,0,6.078,
0,0.016,6.094,
0,0,6.094,
0,0,6.094,
0,0,6.094,
1,0.015,6.109,
0,0.032,6.141,
0,0,6.141,
0,0,6.141,
0,0.015,6.156,
0,0,6.156,
0,0,6.156,
0,0,6.156,
0,0.016,6.172,
0,0,6.172,
0,0,6.172,
0,0.016,6.188,
0,0,6.188,
0,0,6.188,
0,0,6.188,
1,0.015,6.203,
0,0.031,6.234,
0,0,6.234,
0,0,6.234,
0,0.016,6.25,
0,0,6.25,
0,0,6.25,
0,0,6.25,
0,0,6.25,
0,0.016,6.266,
0,0,6.266,
0,0,6.266,
0,0,6.266,
0,0.015,6.281,
0,0,6.281,
0,0,6.281,
0,0,6.281,
0,0,6.281,
0,0.016,6.297,
0,0,6.297,
0,0,6.297,
0,0,6.297,
0,0,6.297,
1,0.016,6.313,
0,0.031,6.344,
0,0,6.344,
0,0,6.344,
0,0.015,6.359,
0,0,6.359,
0,0,6.359,
0,0,6.359,
0,0.016,6.375,
0,0,6.375,
0,0,6.375,
0,0,6.375,
0,0,6.375,
0,0.016,6.391,
0,0,6.391,
0,0,6.391,
0,0,6.391,
1,0.015,6.406,
0,0.032,6.438,
0,0,6.438,
0,0,6.438,
0,0.015,6.453,
0,0,6.453,
0,0,6.453,
0,0,6.453,
0,0.016,6.469,
0,0,6.469,
0,0,6.469,
0,0,6.469,
0,0,6.469,
0,0.015,6.484,
0,0,6.484,
0,0,6.484,
0,0,6.484,
0,0,6.484,
0,0.016,6.5,
0,0,6.5,
0,0,6.5,
0,0,6.5,
1,0.016,6.516,
0,0.031,6.547,
0,0,6.547,
0,0,6.547,
0,0.016,6.563,
0,0,6.563,
0,0,6.563,
0,0,6.563,
0,0.015,6.578,
0,0,6.578,
0,0,6.578,
0,0,6.578,
0,0,6.578,
0,0.016,6.594,
0,0,6.594,
0,0,6.594,
0,0,6.594,
1,0.015,6.609,
0,0.032,6.641,
0,0,6.641,
0,0,6.641,
0,0.015,6.656,
0,0,6.656,
0,0,6.656,
0,0,6.656,
0,0,6.656,
0,0.016,6.672,
0,0,6.672,
0,0,6.672,
0,0,6.672,
0,0.016,6.688,
0,0,6.688,
0,0,6.688,
0,0,6.688,
0,0,6.688,
1,0.015,6.703,
0,0.031,6.734,
0,0,6.734,
0,0,6.734,
0,0.016,6.75,
0,0,6.75,
0,0,6.75,
0,0,6.75,
0,0.016,6.766,
0,0,6.766,
0,0,6.766,
0,0,6.766,
0,0,6.766,
0,0.015,6.781,
0,0,6.781,
0,0,6.781,
0,0,6.781,
0,0.016,6.797,
0,0,6.797,
0,0,6.797,
0,0,6.797,
1,0.016,6.813,
0,0.031,6.844,
0,0,6.844,
0,0,6.844,
0,0.015,6.859,
0,0,6.859,
0,0,6.859,
0,0,6.859,
0,0,6.859,
0,0.016,6.875,
0,0,6.875,
0,0,6.875,
0,0,6.875,
0,0.016,6.891,
0,0,6.891,
0,0,6.891,
0,0,6.891,
0,0,6.891,
1,0.015,6.906,
0,0.032,6.938,
0,0,6.938,
0,0,6.938,
0,0.015,6.953,
0,0,6.953,
0,0,6.953,
0,0.016,6.969,
0,0,6.969,
0,0,6.969,
0,0,6.969,
0,0.015,6.984,
0,0,6.984,
0,0,6.984,
0,0,6.984,
0,0.016,7,
0,0,7,
0,0,7,
0,0,7,
1,0.016,7.016,
0,0.031,7.047,
0,0,7.047,
0,0,7.047,
0,0.016,7.063,
0,0,7.063,
0,0,7.063,
0,0,7.063,
0,0,7.063,
0,0.015,7.078,
0,0,7.078,
0,0,7.078,
0,0,7.078,
0,0.016,7.094,
0,0,7.094,
0,0,7.094,
0,0,7.094,
0,0,7.094,
1,0.015,7.109,
0,0.032,7.141,
0,0,7.141,
0,0.015,7.156,
0,0,7.156,
0,0,7.156,
0,0,7.156,
0,0,7.156,
0,0.016,7.172,
0,0,7.172,
0,0,7.172,
0,0,7.172,
0,0.016,7.188,
0,0,7.188,
0,0,7.188,
0,0,7.188,
0,0,7.188,
1,0.015,7.203,
0,0.031,7.234,
0,0,7.234,
0,0.016,7.25,
0,0,7.25,
0,0,7.25,
0,0,7.25,
0,0.016,7.266,
0,0,7.266,
0,0,7.266,
0,0.015,7.281,
0,0,7.281,
0,0,7.281,
0,0,7.281,
0,0,7.281,
0,0.016,7.297,
0,0,7.297,
0,0,7.297,
0,0,7.297,
0,0,7.297,
1,0.016,7.313,
0,0.031,7.344,
0,0,7.344,
0,0,7.344,
0,0.015,7.359,
0,0,7.359,
0,0,7.359,
0,0,7.359,
0,0.016,7.375,
0,0,7.375,
0,0,7.375,
0,0,7.375,
0,0,7.375,
0,0.016,7.391,
0,0,7.391,
0,0,7.391,
0,0,7.391,
1,0.015,7.406,
0,0.032,7.438,
0,0,7.438,
0,0,7.438,
0,0.015,7.453,
0,0,7.453,
0,0,7.453,
0,0,7.453,
0,0.016,7.469,
0,0,7.469,
0,0,7.469,
0,0,7.469,
0,0.015,7.484,
0,0,7.484,
0,0,7.484,
0,0,7.484,
0,0.016,7.5,
0,0,7.5,
0,0,7.5,
0,0,7.5,
0,0,7.5,
1,0.016,7.516,
0,0.031,7.547,
0,0,7.547,
0,0,7.547,
0,0.016,7.563,
0,0,7.563,
0,0,7.563,
0,0,7.563,
0,0,7.563,
0,0.015,7.578,
0,0,7.578,
0,0,7.578,
0,0,7.578,
0,0.016,7.594,
0,0,7.594,
0,0,7.594,
0,0,7.594,
0,0,7.594,
1,0.015,7.609,
0,0.032,7.641,
0,0,7.641,
0,0.015,7.656,
0,0,7.656,
0,0,7.656,
0,0,7.656,
0,0,7.656,
0,0.016,7.672,
0,0,7.672,
0,0,7.672,
0,0,7.672,
0,0,7.672,
0,0.016,7.688,
0,0,7.688,
0,0,7.688,
0,0,7.688,
1,0.015,7.703,
0,0.031,7.734,
0,0,7.734,
0,0,7.734,
0,0.016,7.75,
0,0,7.75,
0,0,7.75,
0,0,7.75,
0,0,7.75,
0,0.016,7.766,
0,0,7.766,
0,0,7.766,
0,0,7.766,
0,0.015,7.781,
0,0,7.781,
0,0,7.781,
0,0,7.781,
0,0,7.781,
0,0.016,7.797,
0,0,7.797,
0,0,7.797,
0,0,7.797,
1,0.016,7.813,
0,0.031,7.844,
0,0,7.844,
0,0,7.844,
0,0.015,7.859,
0,0,7.859,
0,0,7.859,
0,0,7.859,
0,0,7.859,
0,0.016,7.875,
0,0,7.875,
0,0,7.875,
0,0,7.875,
