Number of Particles of Type 1,50
Number of Particles of Type 2,50
Number of Particles of Type 3,50
Number of Particles of Type 4,50
Number of Updates,Frame Time,TotalTime,
0,0.016,0.016,
0,0,0.016,
0,0,0.016,
0,0,0.016,
0,0.016,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
1,0.015,0.047,
0,0.016,0.063,
1,0.015,0.078,
0,0.016,0.094,
1,0.016,0.11,
0,0.015,0.125,
0,0,0.125,
0,0,0.125,
1,0.016,0.141,
0,0.016,0.157,
0,0,0.157,
0,0,0.157,
0,0,0.157,
1,0.015,0.172,
0,0.016,0.188,
0,0,0.188,
0,0,0.188,
1,0.015,0.203,
0,0.016,0.219,
0,0,0.219,
0,0,0.219,
0,0,0.219,
1,0.016,0.235,
0,0.015,0.25,
0,0,0.25,
0,0,0.25,
0,0.016,0.266,
0,0,0.266,
0,0,0.266,
0,0,0.266,
0,0,0.266,
0,0,0.266,
1,0.016,0.282,
0,0.015,0.297,
0,0,0.297,
0,0,0.297,
1,0.016,0.313,
0,0.015,0.328,
0,0,0.328,
0,0,0.328,
0,0,0.328,
1,0.016,0.344,
0,0.016,0.36,
0,0,0.36,
1,0.015,0.375,
1,0.032,0.407,
1,0.031,0.438,
0,0.015,0.453,
1,0.016,0.469,
0,0.016,0.485,
0,0,0.485,
1,0.015,0.5,
0,0.016,0.516,
0,0.016,0.532,
0,0,0.532,
0,0,0.532,
0,0,0.532,
0,0,0.532,
1,0.015,0.547,
0,0.016,0.563,
0,0,0.563,
0,0,0.563,
1,0.015,0.578,
0,0.016,0.594,
0,0,0.594,
1,0.016,0.61,
0,0.015,0.625,
0,0,0.625,
0,0,0.625,
0,0,0.625,
1,0.016,0.641,
0,0.016,0.657,
0,0,0.657,
0,0,0.657,
1,0.015,0.672,
0,0.016,0.688,
0,0,0.688,
0,0,0.688,
1,0.015,0.703,
0,0.016,0.719,
0,0,0.719,
0,0,0.719,
0,0,0.719,
1,0.016,0.735,
0,0.015,0.75,
0,0,0.75,
0,0,0.75,
0,0.016,0.766,
0,0,0.766,
0,0,0.766,
0,0,0.766,
0,0,0.766,
0,0,0.766,
1,0.016,0.782,
0,0.015,0.797,
0,0,0.797,
0,0,0.797,
0,0,0.797,
1,0.016,0.813,
0,0.015,0.828,
1,0.016,0.844,
0,0.016,0.86,
0,0,0.86,
0,0,0.86,
1,0.015,0.875,
1,0.032,0.907,
1,0.031,0.938,
0,0.015,0.953,
0,0,0.953,
0,0,0.953,
0,0,0.953,
1,0.016,0.969,
1,0.031,1,
0,0.032,1.032,
0,0,1.032,
0,0,1.032,
0,0,1.032,
1,0.015,1.047,
0,0.016,1.063,
0,0,1.063,
0,0,1.063,
0,0,1.063,
1,0.015,1.078,
0,0.016,1.094,
0,0,1.094,
0,0,1.094,
0,0,1.094,
0,0,1.094,
1,0.016,1.11,
0,0.015,1.125,
0,0,1.125,
0,0,1.125,
0,0,1.125,
0,0,1.125,
1,0.016,1.141,
0,0.016,1.157,
0,0,1.157,
0,0,1.157,
1,0.015,1.172,
0,0.016,1.188,
0,0,1.188,
0,0,1.188,
0,0,1.188,
1,0.015,1.203,
0,0.016,1.219,
0,0,1.219,
0,0,1.219,
0,0,1.219,
0,0,1.219,
1,0.016,1.235,
0,0.015,1.25,
0,0,1.25,
0,0,1.25,
0,0,1.25,
0,0,1.25,
0,0.016,1.266,
0,0,1.266,
0,0,1.266,
0,0,1.266,
0,0,1.266,
0,0,1.266,
1,0.016,1.282,
0,0.015,1.297,
0,0,1.297,
0,0,1.297,
0,0,1.297,
0,0,1.297,
1,0.016,1.313,
0,0.015,1.328,
0,0,1.328,
0,0,1.328,
0,0,1.328,
1,0.016,1.344,
0,0.016,1.36,
0,0,1.36,
0,0,1.36,
1,0.015,1.375,
0,0.016,1.391,
0,0,1.391,
0,0,1.391,
0,0,1.391,
1,0.016,1.407,
0,0.015,1.422,
0,0,1.422,
0,0,1.422,
0,0,1.422,
1,0.016,1.438,
0,0.015,1.453,
0,0,1.453,
0,0,1.453,
0,0,1.453,
1,0.016,1.469,
0,0.016,1.485,
0,0,1.485,
0,0,1.485,
1,0.015,1.5,
0,0.016,1.516,
0,0,1.516,
0,0,1.516,
0,0,1.516,
0,0.016,1.532,
0,0,1.532,
0,0,1.532,
0,0,1.532,
0,0,1.532,
0,0,1.532,
1,0.015,1.547,
0,0.016,1.563,
0,0,1.563,
0,0,1.563,
1,0.015,1.578,
0,0.016,1.594,
0,0,1.594,
1,0.016,1.61,
0,0.015,1.625,
0,0,1.625,
0,0,1.625,
0,0,1.625,
1,0.016,1.641,
0,0.016,1.657,
0,0,1.657,
0,0,1.657,
0,0,1.657,
1,0.015,1.672,
0,0.016,1.688,
0,0,1.688,
0,0,1.688,
0,0,1.688,
0,0,1.688,
1,0.015,1.703,
0,0.016,1.719,
0,0,1.719,
0,0,1.719,
0,0,1.719,
0,0,1.719,
1,0.016,1.735,
0,0.015,1.75,
0,0,1.75,
0,0,1.75,
0,0,1.75,
0,0.016,1.766,
0,0,1.766,
0,0,1.766,
0,0,1.766,
0,0,1.766,
0,0,1.766,
0,0,1.766,
1,0.016,1.782,
0,0.015,1.797,
0,0,1.797,
0,0,1.797,
0,0,1.797,
1,0.016,1.813,
0,0.015,1.828,
0,0,1.828,
0,0,1.828,
1,0.016,1.844,
0,0.016,1.86,
0,0,1.86,
0,0,1.86,
0,0,1.86,
0,0,1.86,
1,0.015,1.875,
0,0.016,1.891,
0,0,1.891,
0,0,1.891,
0,0,1.891,
1,0.016,1.907,
0,0.015,1.922,
0,0,1.922,
0,0,1.922,
0,0,1.922,
1,0.016,1.938,
0,0.015,1.953,
0,0,1.953,
0,0,1.953,
1,0.016,1.969,
0,0.016,1.985,
0,0,1.985,
0,0,1.985,
1,0.015,2,
0,0.016,2.016,
0,0,2.016,
0,0,2.016,
0,0,2.016,
0,0.016,2.032,
0,0,2.032,
0,0,2.032,
0,0,2.032,
0,0,2.032,
0,0,2.032,
0,0,2.032,
1,0.015,2.047,
0,0.016,2.063,
0,0,2.063,
0,0,2.063,
0,0,2.063,
1,0.015,2.078,
0,0.016,2.094,
0,0,2.094,
0,0,2.094,
0,0,2.094,
1,0.016,2.11,
0,0.015,2.125,
0,0,2.125,
0,0,2.125,
0,0,2.125,
1,0.016,2.141,
0,0.016,2.157,
0,0,2.157,
0,0,2.157,
0,0,2.157,
0,0,2.157,
1,0.015,2.172,
0,0.016,2.188,
0,0,2.188,
0,0,2.188,
0,0,2.188,
1,0.015,2.203,
0,0.016,2.219,
0,0,2.219,
0,0,2.219,
1,0.016,2.235,
0,0.015,2.25,
0,0,2.25,
0,0,2.25,
0,0,2.25,
0,0.016,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
1,0.016,2.282,
0,0.015,2.297,
0,0,2.297,
0,0,2.297,
0,0,2.297,
0,0,2.297,
1,0.016,2.313,
0,0.015,2.328,
0,0,2.328,
0,0,2.328,
0,0,2.328,
0,0,2.328,
1,0.016,2.344,
0,0.016,2.36,
0,0,2.36,
0,0,2.36,
0,0,2.36,
1,0.015,2.375,
0,0.016,2.391,
0,0,2.391,
0,0,2.391,
1,0.016,2.407,
0,0.015,2.422,
0,0,2.422,
0,0,2.422,
1,0.016,2.438,
0,0.015,2.453,
0,0,2.453,
0,0,2.453,
0,0,2.453,
1,0.016,2.469,
0,0.016,2.485,
0,0,2.485,
0,0,2.485,
0,0,2.485,
0,0,2.485,
1,0.015,2.5,
0,0.016,2.516,
0,0,2.516,
0,0,2.516,
0,0,2.516,
0,0.016,2.532,
0,0,2.532,
0,0,2.532,
0,0,2.532,
0,0,2.532,
0,0,2.532,
0,0,2.532,
1,0.015,2.547,
0,0.016,2.563,
0,0,2.563,
0,0,2.563,
0,0,2.563,
1,0.015,2.578,
0,0.016,2.594,
0,0,2.594,
0,0,2.594,
0,0,2.594,
0,0,2.594,
1,0.016,2.61,
0,0.015,2.625,
0,0,2.625,
0,0,2.625,
0,0,2.625,
1,0.016,2.641,
0,0.016,2.657,
0,0,2.657,
0,0,2.657,
0,0,2.657,
1,0.015,2.672,
0,0.016,2.688,
0,0,2.688,
0,0,2.688,
0,0,2.688,
0,0,2.688,
1,0.015,2.703,
0,0.016,2.719,
0,0,2.719,
0,0,2.719,
0,0,2.719,
1,0.016,2.735,
0,0.015,2.75,
0,0,2.75,
0,0,2.75,
0,0,2.75,
0,0.016,2.766,
0,0,2.766,
0,0,2.766,
0,0,2.766,
0,0,2.766,
1,0.016,2.782,
0,0.015,2.797,
0,0,2.797,
0,0,2.797,
0,0,2.797,
1,0.016,2.813,
0,0.015,2.828,
0,0,2.828,
0,0,2.828,
0,0,2.828,
0,0,2.828,
1,0.016,2.844,
0,0.016,2.86,
0,0,2.86,
0,0,2.86,
0,0,2.86,
1,0.015,2.875,
0,0.016,2.891,
0,0,2.891,
0,0,2.891,
0,0,2.891,
1,0.016,2.907,
0,0.015,2.922,
0,0,2.922,
0,0,2.922,
1,0.016,2.938,
0,0.015,2.953,
0,0,2.953,
0,0,2.953,
0,0,2.953,
1,0.016,2.969,
0,0.016,2.985,
0,0,2.985,
0,0,2.985,
0,0,2.985,
0,0,2.985,
1,0.015,3,
0,0.016,3.016,
0,0,3.016,
0,0,3.016,
0,0,3.016,
0,0.016,3.032,
0,0,3.032,
0,0,3.032,
0,0,3.032,
1,0.015,3.047,
0,0.016,3.063,
0,0,3.063,
0,0,3.063,
0,0,3.063,
1,0.015,3.078,
0,0.016,3.094,
0,0,3.094,
0,0,3.094,
0,0,3.094,
0,0,3.094,
1,0.016,3.11,
0,0.015,3.125,
0,0,3.125,
0,0,3.125,
0,0,3.125,
1,0.016,3.141,
0,0.016,3.157,
0,0,3.157,
0,0,3.157,
0,0,3.157,
0,0,3.157,
1,0.015,3.172,
0,0.016,3.188,
0,0,3.188,
0,0,3.188,
0,0,3.188,
1,0.015,3.203,
0,0.016,3.219,
0,0,3.219,
0,0,3.219,
0,0,3.219,
0,0,3.219,
1,0.016,3.235,
0,0.015,3.25,
0,0,3.25,
0,0,3.25,
0,0,3.25,
0,0.016,3.266,
0,0,3.266,
0,0,3.266,
0,0,3.266,
0,0,3.266,
0,0,3.266,
1,0.016,3.282,
0,0.015,3.297,
0,0,3.297,
0,0,3.297,
0,0,3.297,
1,0.016,3.313,
0,0.015,3.328,
0,0,3.328,
0,0,3.328,
0,0,3.328,
1,0.016,3.344,
0,0.016,3.36,
0,0,3.36,
0,0,3.36,
0,0,3.36,
1,0.015,3.375,
0,0.016,3.391,
0,0,3.391,
0,0,3.391,
0,0,3.391,
0,0,3.391,
1,0.016,3.407,
0,0.015,3.422,
0,0,3.422,
0,0,3.422,
0,0,3.422,
0,0,3.422,
1,0.016,3.438,
0,0.015,3.453,
0,0,3.453,
0,0,3.453,
0,0,3.453,
1,0.016,3.469,
0,0.016,3.485,
0,0,3.485,
0,0,3.485,
0,0,3.485,
0,0,3.485,
1,0.015,3.5,
0,0.016,3.516,
0,0,3.516,
0,0,3.516,
0,0,3.516,
0,0.016,3.532,
0,0,3.532,
0,0,3.532,
0,0,3.532,
0,0,3.532,
0,0,3.532,
0,0,3.532,
1,0.015,3.547,
0,0.016,3.563,
0,0,3.563,
0,0,3.563,
0,0,3.563,
1,0.015,3.578,
0,0.016,3.594,
0,0,3.594,
0,0,3.594,
0,0,3.594,
0,0,3.594,
1,0.016,3.61,
0,0.015,3.625,
0,0,3.625,
0,0,3.625,
0,0,3.625,
1,0.016,3.641,
0,0.016,3.657,
0,0,3.657,
0,0,3.657,
0,0,3.657,
1,0.015,3.672,
0,0.016,3.688,
0,0,3.688,
0,0,3.688,
1,0.015,3.703,
0,0.016,3.719,
0,0,3.719,
0,0,3.719,
0,0,3.719,
0,0,3.719,
1,0.016,3.735,
0,0.015,3.75,
0,0,3.75,
0,0,3.75,
0,0,3.75,
0,0,3.75,
0,0.016,3.766,
0,0,3.766,
0,0,3.766,
0,0,3.766,
0,0,3.766,
0,0,3.766,
0,0,3.766,
1,0.016,3.782,
0,0.015,3.797,
0,0,3.797,
0,0,3.797,
0,0,3.797,
1,0.016,3.813,
0,0.015,3.828,
0,0,3.828,
0,0,3.828,
1,0.016,3.844,
0,0.016,3.86,
0,0,3.86,
0,0,3.86,
1,0.015,3.875,
0,0.016,3.891,
0,0,3.891,
0,0,3.891,
0,0,3.891,
1,0.016,3.907,
0,0.015,3.922,
0,0,3.922,
0,0,3.922,
0,0,3.922,
1,0.016,3.938,
0,0.015,3.953,
0,0,3.953,
0,0,3.953,
0,0,3.953,
1,0.016,3.969,
0,0.016,3.985,
0,0,3.985,
0,0,3.985,
0,0,3.985,
1,0.015,4,
0,0.016,4.016,
0,0,4.016,
0,0,4.016,
0,0,4.016,
0,0,4.016,
0,0.016,4.032,
0,0,4.032,
0,0,4.032,
0,0,4.032,
0,0,4.032,
0,0,4.032,
0,0,4.032,
1,0.015,4.047,
0,0.016,4.063,
0,0,4.063,
0,0,4.063,
0,0,4.063,
1,0.015,4.078,
0,0.016,4.094,
0,0,4.094,
0,0,4.094,
1,0.016,4.11,
0,0.015,4.125,
0,0,4.125,
0,0,4.125,
1,0.016,4.141,
0,0.016,4.157,
0,0,4.157,
0,0,4.157,
0,0,4.157,
0,0,4.157,
1,0.015,4.172,
0,0.016,4.188,
0,0,4.188,
0,0,4.188,
0,0,4.188,
0,0,4.188,
1,0.015,4.203,
0,0.016,4.219,
0,0,4.219,
0,0,4.219,
0,0,4.219,
1,0.016,4.235,
0,0.015,4.25,
0,0,4.25,
0,0,4.25,
0,0,4.25,
0,0,4.25,
0,0.016,4.266,
0,0,4.266,
0,0,4.266,
0,0,4.266,
0,0,4.266,
0,0,4.266,
1,0.016,4.282,
0,0.015,4.297,
0,0,4.297,
0,0,4.297,
1,0.016,4.313,
