Total Run Time,600.031,Early Exit, false,,,,,
Number of Particles of Type 1,300,,,,,,,
Number of Particles of Type 2,0,,,,,,,
Number of Particles of Type 3,0,,,,,,,
Number of Particles of Type 4,0,,,,,,,
Number of Updates,,TotalTime,,,,Frame,Frame Time A,Frame Time B
0,,0.016,,,,0,0.015,0.016
0,,0.016,,,,1,0,0
0,,0.016,,,,2,0.016,0
0,,0.031,,,,3,0,0.015
0,,0.031,,,,4,0,0
0,,0.031,,,,5,0,0
0,,0.031,,,,6,0,0
0,,0.031,,,,7,0,0
0,,0.031,,,,8,0,0
0,,0.031,,,,9,0,0
0,,0.031,,,,10,0,0
0,,0.031,,,,11,0.016,0
1,,0.047,,,,12,0,0.016
1,,0.078,,,,13,0,0.031
1,,0.125,,,,14,0,0.047
1,,0.156,,,,15,0,0.031
1,,0.188,,,,16,0,0.032
2,,0.234,,,,17,0,0.046
2,,0.313,,,,18,0,0.079
2,,0.391,,,,19,0.015,0.078
3,,0.469,,,,20,0,0.078
3,,0.578,,,,21,0,0.109
4,,0.719,,,,22,0,0.141
5,,0.891,,,,23,0,0.172
6,,1.078,,,,24,0,0.187
6,,1.297,,,,25,0,0.219
7,,1.516,,,,26,0,0.219
7,,1.75,,,,27,0,0.234
8,,2,,,,28,0.016,0.25
8,,2.281,,,,29,0,0.281
8,,2.547,,,,30,0,0.266
8,,2.813,,,,31,0,0.266
8,,3.078,,,,32,0,0.265
7,,3.328,,,,33,0,0.25
7,,3.563,,,,34,0,0.235
7,,3.781,,,,35,0,0.218
7,,4.016,,,,36,0,0.235
7,,4.234,,,,37,0.015,0.218
7,,4.484,,,,38,0,0.25
7,,4.703,,,,39,0,0.219
6,,4.922,,,,40,0,0.219
6,,5.125,,,,41,0,0.203
6,,5.328,,,,42,0,0.203
6,,5.516,,,,43,0,0.188
6,,5.719,,,,44,0,0.203
6,,5.906,,,,45,0,0.187
6,,6.109,,,,46,0,0.203
5,,6.297,,,,47,0,0.188
5,,6.453,,,,48,0.016,0.156
5,,6.609,,,,49,0.031,0.156
5,,6.781,,,,50,0,0.172
5,,6.938,,,,51,0.016,0.157
4,,7.094,,,,52,0,0.156
4,,7.219,,,,53,0,0.125
4,,7.359,,,,54,0,0.14
4,,7.484,,,,55,0.016,0.125
4,,7.609,,,,56,0,0.125
4,,7.734,,,,57,0,0.125
3,,7.859,,,,58,0,0.125
3,,7.953,,,,59,0.015,0.094
3,,8.063,,,,60,0,0.11
3,,8.156,,,,61,0,0.093
3,,8.25,,,,62,0,0.094
3,,8.344,,,,63,0.016,0.094
3,,8.453,,,,64,0.031,0.109
3,,8.547,,,,65,0.016,0.094
3,,8.641,,,,66,0,0.094
3,,8.734,,,,67,0,0.093
2,,8.828,,,,68,0,0.094
3,,8.906,,,,69,0.015,0.078
3,,9,,,,70,0,0.094
2,,9.094,,,,71,0,0.094
2,,9.156,,,,72,0.016,0.062
3,,9.234,,,,73,0,0.078
2,,9.328,,,,74,0,0.094
2,,9.391,,,,75,0,0.063
3,,9.484,,,,76,0.016,0.093
3,,9.578,,,,77,0,0.094
3,,9.672,,,,78,0,0.094
2,,9.766,,,,79,0,0.094
2,,9.828,,,,80,0,0.062
2,,9.891,,,,81,0.015,0.063
2,,9.953,,,,82,0.031,0.062
2,,10.031,,,,83,0,0.078
2,,10.094,,,,84,0.016,0.063
2,,10.156,,,,85,0,0.062
2,,10.219,,,,86,0,0.063
2,,10.281,,,,87,0,0.062
2,,10.344,,,,88,0.016,0.063
2,,10.422,,,,89,0,0.078
2,,10.484,,,,90,0,0.062
2,,10.547,,,,91,0.015,0.063
2,,10.609,,,,92,0,0.062
