Total Run Time,4.281,Early Exit, false
Number of Particles of Type 1,300
Number of Particles of Type 2,0
Number of Particles of Type 3,0
Number of Particles of Type 4,0
Number of Updates,Frame Time,TotalTime,
0,0.015,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0.016,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
1,0.015,0.046,
1,0.032,0.078,
1,0.047,0.125,
1,0.031,0.156,
2,0.047,0.203,
2,0.078,0.281,
3,0.094,0.375,
4,0.14,0.515,
6,0.203,0.718,
7,0.219,0.937,
7,0.25,1.187,
8,0.25,1.437,
9,0.328,1.765,
12,0.391,2.156,
14,0.469,2.625,
16,0.515,3.14,
17,0.563,3.703,
17,0.578,4.281,
